Date,DayName,StartOfWeek,StartOfMonth,StartOfQuarter,MonthName,MonthNumber,StartOfYear,Year
2020-05-19,Tuesday,2020-05-18,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-20,Wednesday,2020-05-18,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-21,Thursday,2020-05-18,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-22,Friday,2020-05-18,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-23,Saturday,2020-05-18,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-24,Sunday,2020-05-18,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-25,Monday,2020-05-25,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-26,Tuesday,2020-05-25,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-27,Wednesday,2020-05-25,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-28,Thursday,2020-05-25,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-29,Friday,2020-05-25,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-30,Saturday,2020-05-25,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-05-31,Sunday,2020-05-25,2020-05-01,2020-04-01,May,5,2020-01-01,2020
2020-06-01,Monday,2020-06-01,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-02,Tuesday,2020-06-01,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-03,Wednesday,2020-06-01,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-04,Thursday,2020-06-01,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-05,Friday,2020-06-01,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-06,Saturday,2020-06-01,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-07,Sunday,2020-06-01,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-08,Monday,2020-06-08,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-09,Tuesday,2020-06-08,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-10,Wednesday,2020-06-08,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-11,Thursday,2020-06-08,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-12,Friday,2020-06-08,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-13,Saturday,2020-06-08,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-14,Sunday,2020-06-08,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-15,Monday,2020-06-15,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-16,Tuesday,2020-06-15,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-17,Wednesday,2020-06-15,2020-06-01,2020-04-01,June,6,2020-01-01,2020
2020-06-18,Thursday,2020-06-15,2020-06-01,2020-04-01,June,6,2020-01-01,2020
